position,track_name,artist,streams,top_week,top_year,top_month,top_first_day,valence,release_year,release_month,release_day
2,No Limit,G-Eazy,7090891,1,2017,12,29,0.405,2017,9,8
3,I Fall Apart,Post Malone,6673907,1,2017,12,29,0.291,2016,0,0
4,Bartier Cardi,Cardi B,6624198,1,2017,12,29,0.109,2018,12,22
5,Gucci Gang,Lil Pump,5975507,1,2017,12,29,0.699,2017,8,31
7,Ric Flair Drip,Offset,5896347,1,2017,12,29,0.333,2017,3,1
8,Havana,Camila Cabello,5563102,1,2017,12,29,0.394,2018,9,8
9,Candy Paint,Post Malone,4960836,1,2017,12,29,0.381,2018,10,20
10,XO Tour Llif3,Lil Uzi Vert,4904234,1,2017,12,29,0.401,2017,2,26
12,Let You Down,NF,4601417,1,2017,12,29,0.464,2017,9,14
13,Bank Account,21 Savage,4589775,1,2017,12,29,0.376,2017,8,8
17,Young Dumb & Broke,Khalid,4319972,1,2017,12,29,0.394,2017,6,13
18,MotorSport,Migos,4306236,1,2017,12,29,0.188,2018,10,30
19,Perfect,Ed Sheeran,4273504,1,2017,12,29,0.168,2017,9,26
20,Too Good At Goodbyes,Sam Smith,4269340,1,2017,12,29,0.476,2017,9,8
21,New Rules,Dua Lipa,4251568,1,2017,12,29,0.608,2017,7,15
23,HUMBLE.,Kendrick Lamar,4162605,1,2017,12,29,0.421,2017,3,30
25,Congratulations,Post Malone,4116779,1,2017,12,29,0.492,2016,0,0
26,Plain Jane,A$AP Ferg,4095476,1,2017,12,29,0.52,2017,6,13
27,1-800-273-8255,Logic,3995743,1,2017,12,29,0.357,2017,4,27
28,Let Me Go,Hailee Steinfeld,3968044,1,2017,12,29,0.742,2017,9,8
29,Silence,Marshmello,3793378,1,2017,12,29,0.286,2017,8,11
30,Bodak Yellow,Cardi B,3791207,1,2017,12,29,0.485,2018,6,16
31,What Lovers Do,Maroon 5,3759452,1,2017,12,29,0.419,2018,8,30
32,Sky Walker,Miguel,3757510,1,2017,12,29,0.183,2017,8,25
33,Bad At Love,Halsey,3754834,1,2017,12,29,0.612,2017,8,22
34,I Get the Bag,Gucci Mane,3548680,1,2017,12,29,0.425,2017,8,18
35,Betrayed,Lil Xan,3499176,1,2017,12,29,0.241,2018,7,20
36,goosebumps,Travis Scott,3323557,1,2017,12,29,0.442,2016,0,0
37,Thunder,Imagine Dragons,3299966,1,2017,12,29,0.288,2017,4,27
40,Unforgettable,French Montana,3124897,1,2017,12,29,0.733,2017,4,7
41,Location,Khalid,3119292,1,2017,12,29,0.326,2017,1,26
44,Wanted You,NAV,3004749,1,2017,12,29,0.623,2018,11,3
45,Sorry Not Sorry,Demi Lovato,2986767,1,2017,12,29,0.887,2017,7,11
48,Shape of You,Ed Sheeran,2908251,1,2017,12,29,0.931,2017,1,6
51,Stir Fry,Migos,2774822,1,2017,12,29,0.508,2018,12,20
53,Feel It Still,Portugal. The Man,2713120,1,2017,12,29,0.754,2017,3,3
54,Slippery,Migos,2669201,1,2017,12,29,0.741,2017,5,16
55,Fuck Love,XXXTENTACION,2612031,1,2017,12,29,0.329,2017,1,23
56,Rubbin Off The Paint,YBN Nahmir,2561510,1,2017,12,29,0.56,2018,9,18
57,Despacito - Remix,Luis Fonsi,2534588,1,2017,12,29,0.816,2017,1,12
59,How Long,Charlie Puth,2489088,1,2017,12,29,0.811,2018,10,5
61,Drowning,A Boogie Wit da Hoodie,2447083,1,2017,12,29,0.814,2017,3,10
62,DNA.,Kendrick Lamar,2335539,1,2017,12,29,0.422,2017,4,14
63,GUMMO,6ix9ine,2320909,1,2017,12,29,0.635,2018,9,24
64,Believer,Imagine Dragons,2302073,1,2017,12,29,0.666,2017,2,1
66,Go Flex,Post Malone,2263112,1,2017,12,29,0.127,2016,0,0
68,Real Friends,Camila Cabello,2168343,1,2017,12,29,0.663,2018,12,7
69,Body Like A Back Road,Sam Hunt,2132805,1,2017,12,29,0.661,2017,2,2
70,Redbone,Childish Gambino,2132516,1,2017,12,29,0.572,2016,0,0
71,Rake It Up,Yo Gotti,2128185,1,2017,12,29,0.53,2017,6,1
73,Attention,Charlie Puth,2098802,1,2017,12,29,0.797,2018,4,21
74,Mask Off,Future,2094567,1,2017,12,29,0.281,2017,4,18
75,Rewrite The Stars,Zac Efron,2079792,1,2017,12,29,0.284,2017,7,20
77,I Miss You,Clean Bandit,2037953,1,2017,12,29,0.369,2018,10,27
78,Plain Jane REMIX,A$AP Ferg,2037676,1,2017,12,29,0.383,2017,6,13
81,White Iverson,Post Malone,1998000,1,2017,12,29,0.309,2016,0,0
82,Magnolia,Playboi Carti,1992610,1,2017,12,29,0.443,2017,4,14
83,Mi Gente,J Balvin,1979480,1,2017,12,29,0.469,2020,0,0
84,Closer,The Chainsmokers,1937933,1,2017,12,29,0.661,2016,0,0
87,New Freezer,Rich The Kid,1896115,1,2017,12,29,0.575,2018,9,26
89,That's What I Like,Bruno Mars,1888517,1,2017,12,29,0.86,2016,0,0
94,Sauce It Up,Lil Uzi Vert,1842434,1,2017,12,29,0.131,2017,8,25
95,Delicate,Taylor Swift,1827367,1,2017,12,29,0.0499,2017,3,12
96,Look What You Made Me Do,Taylor Swift,1809972,1,2017,12,29,0.506,2017,8,24
97,Say You Won't Let Go,James Arthur,1805636,1,2017,12,29,0.494,2016,0,0
98,What Ifs,Kane Brown,1798785,1,2017,12,29,0.687,2016,0,0
100,Relationship,Young Thug,1782457,1,2017,12,29,0.298,2017,6,16
101,Strip That Down,Liam Payne,1781576,1,2017,12,29,0.542,2017,5,19
103,Passionfruit,Drake,1773110,1,2017,12,29,0.364,2017,3,28
105,One Dance,Drake,1766161,1,2017,12,29,0.37,2016,0,0
108,IDGAF,Dua Lipa,1736543,1,2017,12,29,0.51,2017,1,12
110,It's A Vibe,2 Chainz,1714466,1,2017,12,29,0.525,2017,3,14
114,Transportin',Kodak Black,1695673,1,2017,12,29,0.257,2017,8,18
115,Tunnel Vision,Kodak Black,1691559,1,2017,12,29,0.231,2017,2,16
116,do re mi,blackbear,1686621,1,2017,12,29,0.17,2017,3,17
117,Havana - Remix,Camila Cabello,1685665,1,2017,12,29,0.349,2017,9,8
118,Something Just Like This,The Chainsmokers,1671423,1,2017,12,29,0.446,2017,2,22
121,There's Nothing Holdin' Me Back,Shawn Mendes,1654962,1,2017,12,29,0.969,2017,4,20
123,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1650337,1,2017,12,29,0.419,2017,6,20
124,The Race,Tay-K,1647641,1,2017,12,29,0.352,2017,6,30
126,Dark Knight Dummo,Trippie Redd,1642657,1,2017,12,29,0.254,2018,12,6
127,Everybody Dies In Their Nightmares,XXXTENTACION,1625249,1,2017,12,29,0.689,2017,8,25
131,Stay,Zedd,1587562,1,2017,12,29,0.544,2017,2,23
132,I Like Me Better,Lauv,1579044,1,2017,12,29,0.419,2018,5,19
135,No Role Modelz,J. Cole,1551632,1,2017,12,29,0.463,2014,0,0
136,Corazn,Maluma,1551370,1,2017,12,29,0.748,2018,11,3
137,La Modelo,Ozuna,1541713,1,2017,12,29,0.769,2018,12,22
138,Starboy,The Weeknd,1537914,1,2017,12,29,0.486,2016,0,0
139,T-Shirt,Migos,1537577,1,2017,12,29,0.486,2017,2,14
140,Slide,Calvin Harris,1537262,1,2017,12,29,0.511,2017,2,23
141,Pills & Automobiles,Chris Brown,1535080,1,2017,12,29,0.617,2017,8,4
143,wokeuplikethis*,Playboi Carti,1528463,1,2017,12,29,0.478,2017,4,7
147,Slow Hands,Niall Horan,1504765,1,2017,12,29,0.848,2017,5,4
152,Unforgettable,Thomas Rhett,1451303,1,2017,12,29,0.828,2017,4,7
153,Caroline,Amin,1419687,1,2017,12,29,0.707,2017,3,9
154,KOODA,6ix9ine,1411427,1,2017,12,29,0.201,2018,12,3
155,Issues,Julia Michaels,1403101,1,2017,12,29,0.455,2017,1,13
156,Love Scars,Trippie Redd,1401127,1,2017,12,29,0.26,2017,5,26
160,Praying,Kesha,1387725,1,2017,12,29,0.319,2017,7,6
161,Se Prepar,Ozuna,1371855,1,2017,12,29,0.693,2017,8,11
162,No Option,Post Malone,1368644,1,2017,12,29,0.494,2016,0,0
163,In Case You Didn't Know,Brett Young,1360467,1,2017,12,29,0.434,2017,1,9
166,I Dont Wanna Live Forever,ZAYN,1331849,1,2017,12,29,0.106,2017,1,27
167,PRBLMS,6LACK,1327614,1,2017,12,29,0.139,2016,0,0
168,Don't,Bryson Tiller,1318533,1,2017,12,29,0.189,2015,0,0
170,Glorious,Macklemore,1305795,1,2017,12,29,0.356,2017,6,15
171,Portland,Drake,1303926,1,2017,12,29,0.35,2017,5,16
172,20 Min,Lil Uzi Vert,1303133,1,2017,12,29,0.783,2017,8,25
173,Exchange,Bryson Tiller,1298390,1,2017,12,29,0.276,2015,0,0
174,Money Longer,Lil Uzi Vert,1297934,1,2017,12,29,0.478,2016,0,0
175,Most Girls,Hailee Steinfeld,1286093,1,2017,12,29,0.417,2017,4,28
178,No Problem,Chance the Rapper,1264882,1,2017,12,29,0.788,2016,0,0
179,Mayores,Becky G,1264291,1,2017,12,29,0.874,2019,0,0
180,Now Or Never,Halsey,1262378,1,2017,12,29,0.447,2017,4,4
181,Die For You,The Weeknd,1258634,1,2017,12,29,0.51,2016,0,0
182,Myself,NAV,1257964,1,2017,12,29,0.0859,2017,1,12
183,Yours,Russell Dickerson,1254288,1,2017,12,29,0.558,2017,7,23
184,Heartache On The Dance Floor,Jon Pardi,1252239,1,2017,12,29,0.618,2016,0,0
185,Swang,Rae Sremmurd,1247887,1,2017,12,29,0.166,2016,0,0
187,When It Rains It Pours,Luke Combs,1235694,1,2017,12,29,0.625,2017,6,19
188,Saved,Khalid,1234404,1,2017,12,29,0.553,2017,3,3
189,Poles 1469,Trippie Redd,1234005,1,2017,12,29,0.217,2017,8,27
191,pick up the phone,Young Thug,1224640,1,2017,12,29,0.459,2016,0,0
193,Criminal,Natti Natasha,1215862,1,2017,12,29,0.839,2017,8,18
194,From The D To The A,Tee Grizzley,1212380,1,2017,12,29,0.668,2017,3,17
195,You Broke Up with Me,Walker Hayes,1208368,1,2017,12,29,0.874,2017,6,28
196,Galway Girl,Ed Sheeran,1202864,1,2017,12,29,0.781,2017,3,17
197,Red Roses,Lil Skies,1202786,1,2017,12,29,0.456,2017,6,25
198,What They Want,Russ,1197454,1,2017,12,29,0.398,2017,8,19
199,Stargazing,Kygo,1197037,1,2017,12,29,0.419,2017,9,22
200,Ex Calling,6LACK,1196048,1,2017,12,29,0.0588,2016,0,0
1,rockstar,Post Malone,9855305,2,2018,1,5,0.129,2018,9,15
2,Finesse - Remix; feat. Cardi B,Bruno Mars,8504248,2,2018,1,5,0.926,2017,1,4
3,No Limit,G-Eazy,7685058,2,2018,1,5,0.405,2017,9,8
4,Bartier Cardi,Cardi B,7439471,2,2018,1,5,0.109,2018,12,22
5,I Fall Apart,Post Malone,6971450,2,2018,1,5,0.291,2016,0,0
6,Ric Flair Drip,Offset,6419256,2,2018,1,5,0.333,2017,3,1
9,Havana,Camila Cabello,5860925,2,2018,1,5,0.394,2018,9,8
10,LOVE. FEAT. ZACARI.,Kendrick Lamar,5657847,2,2018,1,5,0.779,2017,10,2
12,Let You Down,NF,5215443,2,2018,1,5,0.464,2017,9,14
13,Candy Paint,Post Malone,5110437,2,2018,1,5,0.381,2018,10,20
17,XO Tour Llif3,Lil Uzi Vert,4828478,2,2018,1,5,0.401,2017,2,26
19,Let Me Go,Hailee Steinfeld,4589237,2,2018,1,5,0.742,2017,9,8
21,MotorSport,Migos,4457378,2,2018,1,5,0.188,2018,10,30
22,Bank Account,21 Savage,4419534,2,2018,1,5,0.376,2017,8,8
24,Too Good At Goodbyes,Sam Smith,4362005,2,2018,1,5,0.476,2017,9,8
25,Plain Jane,A$AP Ferg,4361670,2,2018,1,5,0.52,2017,6,13
26,HUMBLE.,Kendrick Lamar,4306140,2,2018,1,5,0.421,2017,3,30
27,Sky Walker,Miguel,4290792,2,2018,1,5,0.183,2017,8,25
28,Perfect,Ed Sheeran,4268123,2,2018,1,5,0.168,2017,9,26
29,New Rules,Dua Lipa,4227667,2,2018,1,5,0.608,2017,7,15
30,Congratulations,Post Malone,4113995,2,2018,1,5,0.492,2016,0,0
31,Young Dumb & Broke,Khalid,4014104,2,2018,1,5,0.394,2017,6,13
32,Betrayed,Lil Xan,3929719,2,2018,1,5,0.241,2018,7,20
33,Silence,Marshmello,3884863,2,2018,1,5,0.286,2017,8,11
34,Never Be the Same,Camila Cabello,3815871,2,2018,1,5,0.243,2018,12,7
35,1-800-273-8255,Logic,3745379,2,2018,1,5,0.357,2017,4,27
36,What Lovers Do,Maroon 5,3728239,2,2018,1,5,0.419,2018,8,30
37,Stir Fry,Migos,3700208,2,2018,1,5,0.508,2018,12,20
39,I Get the Bag,Gucci Mane,3648863,2,2018,1,5,0.425,2017,8,18
40,Bodak Yellow,Cardi B,3615183,2,2018,1,5,0.485,2018,6,16
41,Bad At Love,Halsey,3459502,2,2018,1,5,0.612,2017,8,22
42,goosebumps,Travis Scott,3327102,2,2018,1,5,0.442,2016,0,0
47,Location,Khalid,3163879,2,2018,1,5,0.326,2017,1,26
48,The Way Life Goes,Lil Uzi Vert,3090793,2,2018,1,5,0.756,2017,10,3
49,Unforgettable,French Montana,3036983,2,2018,1,5,0.733,2017,4,7
50,Wanted You,NAV,3012676,2,2018,1,5,0.623,2018,11,3
51,Sorry Not Sorry,Demi Lovato,2956614,2,2018,1,5,0.887,2017,7,11
54,Rewrite The Stars,Zac Efron,2833539,2,2018,1,5,0.284,2017,7,20
55,Fuck Love,XXXTENTACION,2813994,2,2018,1,5,0.329,2017,1,23
56,IDGAF,Dua Lipa,2801608,2,2018,1,5,0.51,2017,1,12
58,I Miss You,Clean Bandit,2701157,2,2018,1,5,0.369,2018,10,27
59,Rubbin Off The Paint,YBN Nahmir,2692281,2,2018,1,5,0.56,2018,9,18
62,Slippery,Migos,2593273,2,2018,1,5,0.741,2017,5,16
66,GUMMO,6ix9ine,2484706,2,2018,1,5,0.635,2018,9,24
67,DNA.,Kendrick Lamar,2484315,2,2018,1,5,0.422,2017,4,14
68,Shape of You,Ed Sheeran,2464024,2,2018,1,5,0.931,2017,1,6
69,Go Flex,Post Malone,2341546,2,2018,1,5,0.127,2016,0,0
70,Real Friends,Camila Cabello,2339051,2,2018,1,5,0.663,2018,12,7
72,Feel It Still,Portugal. The Man,2306298,2,2018,1,5,0.754,2017,3,3
75,How Long,Charlie Puth,2287917,2,2018,1,5,0.811,2018,10,5
76,Believer,Imagine Dragons,2281315,2,2018,1,5,0.666,2017,2,1
80,Body Like A Back Road,Sam Hunt,2183403,2,2018,1,5,0.661,2017,2,2
86,Rake It Up,Yo Gotti,2093230,2,2018,1,5,0.53,2017,6,1
87,Plain Jane REMIX,A$AP Ferg,2066321,2,2018,1,5,0.383,2017,6,13
91,White Iverson,Post Malone,2016953,2,2018,1,5,0.309,2016,0,0
93,Magnolia,Playboi Carti,2011792,2,2018,1,5,0.443,2017,4,14
95,Attention,Charlie Puth,1974154,2,2018,1,5,0.797,2018,4,21
96,Mask Off,Future,1972464,2,2018,1,5,0.281,2017,4,18
101,That's What I Like,Bruno Mars,1904034,2,2018,1,5,0.86,2016,0,0
102,Relationship,Young Thug,1874545,2,2018,1,5,0.298,2017,6,16
104,Delicate,Taylor Swift,1856942,2,2018,1,5,0.0499,2017,3,12
105,Say You Won't Let Go,James Arthur,1850900,2,2018,1,5,0.494,2016,0,0
108,What Ifs,Kane Brown,1813165,2,2018,1,5,0.687,2016,0,0
109,It's A Vibe,2 Chainz,1807133,2,2018,1,5,0.525,2017,3,14
111,Dark Knight Dummo,Trippie Redd,1796584,2,2018,1,5,0.254,2018,12,6
112,Dusk Till Dawn - Radio Edit,ZAYN,1794457,2,2018,1,5,0.0967,2017,9,8
113,Despacito - Remix,Luis Fonsi,1790194,2,2018,1,5,0.816,2017,1,12
115,Mi Gente,J Balvin,1780184,2,2018,1,5,0.469,2020,0,0
116,Transportin',Kodak Black,1775232,2,2018,1,5,0.257,2017,8,18
117,La Modelo,Ozuna,1771671,2,2018,1,5,0.769,2018,12,22
118,Everybody Dies In Their Nightmares,XXXTENTACION,1765206,2,2018,1,5,0.689,2017,8,25
122,Corazn,Maluma,1752229,2,2018,1,5,0.748,2018,11,3
125,I Like Me Better,Lauv,1728903,2,2018,1,5,0.419,2018,5,19
126,Look What You Made Me Do,Taylor Swift,1722083,2,2018,1,5,0.506,2017,8,24
127,Red Roses,Lil Skies,1713795,2,2018,1,5,0.456,2017,6,25
129,do re mi,blackbear,1708449,2,2018,1,5,0.17,2017,3,17
130,Passionfruit,Drake,1701407,2,2018,1,5,0.364,2017,3,28
131,Tunnel Vision,Kodak Black,1694705,2,2018,1,5,0.231,2017,2,16
132,The Race,Tay-K,1680632,2,2018,1,5,0.352,2017,6,30
133,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1669562,2,2018,1,5,0.419,2017,6,20
137,No Role Modelz,J. Cole,1592429,2,2018,1,5,0.463,2014,0,0
138,Love Scars,Trippie Redd,1583728,2,2018,1,5,0.26,2017,5,26
139,wokeuplikethis*,Playboi Carti,1583435,2,2018,1,5,0.478,2017,4,7
140,From Now On,Hugh Jackman,1576833,2,2018,1,5,0.0834,2017,3,28
141,Pills & Automobiles,Chris Brown,1568534,2,2018,1,5,0.617,2017,8,4
143,The Way Life Goes,Lil Uzi Vert,1550003,2,2018,1,5,0.756,2017,10,3
145,Something Just Like This,The Chainsmokers,1525089,2,2018,1,5,0.446,2017,2,22
146,Closer,The Chainsmokers,1522209,2,2018,1,5,0.661,2016,0,0
147,KOODA,6ix9ine,1517198,2,2018,1,5,0.201,2018,12,3
148,T-Shirt,Migos,1501830,2,2018,1,5,0.486,2017,2,14
149,Unforgettable,Thomas Rhett,1497973,2,2018,1,5,0.828,2017,4,7
152,There's Nothing Holdin' Me Back,Shawn Mendes,1460160,2,2018,1,5,0.969,2017,4,20
154,Slow Hands,Niall Horan,1457857,2,2018,1,5,0.848,2017,5,4
155,Starboy,The Weeknd,1448094,2,2018,1,5,0.486,2016,0,0
156,20 Min,Lil Uzi Vert,1437753,2,2018,1,5,0.783,2017,8,25
159,PRBLMS,6LACK,1431986,2,2018,1,5,0.139,2016,0,0
160,Caroline,Amin,1429040,2,2018,1,5,0.707,2017,3,9
161,Praying,Kesha,1428118,2,2018,1,5,0.319,2017,7,6
162,Tightrope,Michelle Williams,1421904,2,2018,1,5,0.191,2017,3,20
164,Die For You,The Weeknd,1410265,2,2018,1,5,0.51,2016,0,0
165,Don't,Bryson Tiller,1405568,2,2018,1,5,0.189,2015,0,0
168,Se Prepar,Ozuna,1394352,2,2018,1,5,0.693,2017,8,11
169,In Case You Didn't Know,Brett Young,1390749,2,2018,1,5,0.434,2017,1,9
170,Issues,Julia Michaels,1386971,2,2018,1,5,0.455,2017,1,13
171,Yours,Russell Dickerson,1376080,2,2018,1,5,0.558,2017,7,23
