,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"In My Feelings",Drake,24879464,https://open.spotify.com/track/0bAkKNCQfWkexHFn7fIKns
2,Nonstop,Drake,14660638,https://open.spotify.com/track/2Vx8E3K5icPZR7OCklWBXX
3,"Lucid Dreams","Juice WRLD",13087057,https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc
4,"Don’t Matter To Me",Drake,12077821,https://open.spotify.com/track/36ONiya0OANYknz0GgJmwB
5,SAD!,XXXTENTACION,11346395,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
6,"I'm Upset",Drake,9445554,https://open.spotify.com/track/1iSZPndzmY6NvL1jAtIvY1
7,"Nice For What",Drake,9256525,https://open.spotify.com/track/0HVv5bEOiI9a0QfgcASXpX
8,Moonlight,XXXTENTACION,8894448,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
9,"I Like It","Cardi B",8836989,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
10,"Taste (feat. Offset)",Tyga,8438869,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
11,"God's Plan",Drake,8056452,https://open.spotify.com/track/2VWbHHhWnMzKWPUs4IEEW9
12,"Mob Ties",Drake,7959616,https://open.spotify.com/track/7txPE73wHbuXYkM1h8zNrG
13,"Girls Like You (feat. Cardi B)","Maroon 5",7848266,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
14,"Yes Indeed","Lil Baby",7745189,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
15,"Better Now","Post Malone",7725315,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
16,Emotionless,Drake,6901710,https://open.spotify.com/track/1v1IXPXl73Z7zy6f5tUa9n
17,Elevate,Drake,5793418,https://open.spotify.com/track/4uloft7ZE54WflsuqFmjC7
18,"Can’t Take A Joke",Drake,5693155,https://open.spotify.com/track/7cfvP13Bqb1EyCZQiYsLum
19,"Psycho (feat. Ty Dolla $ign)","Post Malone",5582255,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
20,"Jocelyn Flores",XXXTENTACION,5520515,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
21,changes,XXXTENTACION,5425090,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
22,"All Girls Are The Same","Juice WRLD",5280126,https://open.spotify.com/track/3H2JThgdBxezwj1wwafQS8
23,"Ocean (feat. Khalid)","Martin Garrix",5182762,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS
24,"Jackie Chan",Tiësto,4937419,https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp
25,"Look Alive (feat. Drake)","BlocBoy JB",4827267,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
26,"Boo'd Up","Ella Mai",4661211,https://open.spotify.com/track/0At2qAoaVjIwWNAqrscXli
27,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4654752,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
28,Youngblood,"5 Seconds of Summer",4624425,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
29,APESHIT,"The Carters",4578713,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
30,"Blue Tint",Drake,4539361,https://open.spotify.com/track/1Jrj3k5L36dPkU6KAclU7g
31,"8 Out Of 10",Drake,4515751,https://open.spotify.com/track/5fcM0StdQxMjzulVGhFkHN
32,"All Mine","Kanye West",4488833,https://open.spotify.com/track/3qnoOm4fwZPBS116f5hpgF
33,Survival,Drake,4363707,https://open.spotify.com/track/71SEHJPt1iDwGkBhUOAXDP
34,"no tears left to cry","Ariana Grande",4355309,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
35,"rockstar (feat. 21 Savage)","Post Malone",4318228,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
36,"Talk Up",Drake,4276127,https://open.spotify.com/track/3Yw09dj3cTXsAzlLjgBfIP
37,"Summer Games",Drake,4142103,https://open.spotify.com/track/0w1ZtnzQmtmuuoKxHT0pLL
38,"Back To You","Selena Gomez",4086334,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9
39,"After Dark",Drake,4071657,https://open.spotify.com/track/4IvenHmD0spfFDOKphoUDp
40,"Sandra’s Rose",Drake,4032366,https://open.spotify.com/track/1sPLURKAosM3Jampgp9AWq
41,"Bed (feat. Ariana Grande)","Nicki Minaj",4030785,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS
42,"One Kiss (with Dua Lipa)","Calvin Harris",3790800,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
43,"That’s How You Feel",Drake,3787788,https://open.spotify.com/track/0SVsEdvot6vU4byv5yW0oj
44,"WIFI LIT",Future,3665647,https://open.spotify.com/track/6WlxcZKpEV6Bwe9InoVhMp
45,"Ball For Me (feat. Nicki Minaj)","Post Malone",3644622,https://open.spotify.com/track/6IaieqiCVvsNvEt6Y7yOFa
46,"Plug Walk","Rich The Kid",3558488,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
47,"Everybody Dies In Their Nightmares",XXXTENTACION,3549039,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
48,Jaded,Drake,3535523,https://open.spotify.com/track/3jipFRgLyKK0oJoG1pKicx
49,Finesse,Drake,3503847,https://open.spotify.com/track/590bUp2TKTfTS9NfiD4Nmn
50,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",3444042,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
51,"lovely (with Khalid)","Billie Eilish",3410521,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
52,"Te Boté - Remix","Nio Garcia",3397256,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
53,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",3309480,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
54,"This Is America","Childish Gambino",3284647,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
55,"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",YG,3255508,https://open.spotify.com/track/2RM4jf1Xa9zPgMGRDiht8O
56,"I Fall Apart","Post Malone",3246846,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
57,"Ric Flair Drip (& Metro Boomin)",Offset,3216361,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
58,"Solo (feat. Demi Lovato)","Clean Bandit",3148823,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6
59,"Walk It Talk It",Migos,3131943,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
60,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,3125457,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
61,Peak,Drake,3064874,https://open.spotify.com/track/2RAeY8dPj6KmStROfEigjV
62,Mine,Bazzi,3063998,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
63,JAPAN,"Famous Dex",3046617,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
64,"High Hopes","Panic! At The Disco",2993698,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
65,"Love Lies (with Normani)",Khalid,2955980,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
66,"Is There More",Drake,2955070,https://open.spotify.com/track/2QoOyCFpDo4NblMLP7vBRT
67,Hope,XXXTENTACION,2876284,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
68,"Born To Be Yours",Kygo,2857836,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM
69,"Look At Me!",XXXTENTACION,2823014,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
70,Simple,"Florida Georgia Line",2819845,https://open.spotify.com/track/4P92FrvmYQSAfOpp4cpFEi
71,"Powerglide (feat. Juicy J) - From SR3MM","Rae Sremmurd",2803825,https://open.spotify.com/track/1BuZAIO8WZpavWVbbq3Lci
72,"Drug Addicts","Lil Pump",2758072,https://open.spotify.com/track/6tpHfEM8eaETzlPOARYWfZ
73,"Ratchet Happy Birthday",Drake,2743344,https://open.spotify.com/track/16x6tqeSkIjoLEf7SJLlYy
74,"Candy Paint","Post Malone",2714683,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
75,OTW,Khalid,2709118,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
76,"Final Fantasy",Drake,2603055,https://open.spotify.com/track/7ijJ5crvsnCvCLJbHpyq3j
