Position,Track Name,Artist,Streams,Week
1,rockstar,Post Malone,10134471,1
2,No Limit,G-Eazy,7090891,1
3,I Fall Apart,Post Malone,6673907,1
4,Bartier Cardi (feat. 21 Savage),Cardi B,6624198,1
5,Gucci Gang,Lil Pump,5975507,1
6,Him & I (with Halsey),G-Eazy,5915005,1
7,Ric Flair Drip (& Metro Boomin),Offset,5896347,1
8,Havana,Camila Cabello,5563102,1
9,Candy Paint,Post Malone,4960836,1
10,XO Tour Llif3,Lil Uzi Vert,4904234,1
11,Codeine Dreaming (feat. Lil Wayne),Kodak Black,4602782,1
12,Let You Down,NF,4601417,1
13,Bank Account,21 Savage,4589775,1
14,Wolves,Selena Gomez,4445106,1
15,PICK IT UP (feat. A$AP Rocky),Famous Dex,4426379,1
16,River (feat. Ed Sheeran),Eminem,4326022,1
17,Young Dumb & Broke,Khalid,4319972,1
18,MotorSport,Migos,4306236,1
19,Perfect,Ed Sheeran,4273504,1
20,Too Good At Goodbyes,Sam Smith,4269340,1
21,New Rules,Dua Lipa,4251568,1
22,LOVE. FEAT. ZACARI.,Kendrick Lamar,4211074,1
23,HUMBLE.,Kendrick Lamar,4162605,1
24,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4143866,1
25,Congratulations,Post Malone,4116779,1
26,Plain Jane,A$AP Ferg,4095476,1
27,1-800-273-8255,Logic,3995743,1
28,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,3968044,1
29,Silence,Marshmello,3793378,1
30,Bodak Yellow,Cardi B,3791207,1
31,What Lovers Do (feat. SZA),Maroon 5,3759452,1
32,Sky Walker (feat. Travis Scott),Miguel,3757510,1
33,Bad At Love,Halsey,3754834,1
34,I Get the Bag (feat. Migos),Gucci Mane,3548680,1
35,Betrayed,Lil Xan,3499176,1
36,goosebumps,Travis Scott,3323557,1
37,Thunder,Imagine Dragons,3299966,1
38,BUTTERFLY EFFECT,Travis Scott,3262014,1
39,Never Be the Same,Camila Cabello,3142876,1
40,Unforgettable,French Montana,3124897,1
41,Location,Khalid,3119292,1
42,Tell Me You Love Me,Demi Lovato,3094647,1
43,Roll In Peace (feat. XXXTENTACION),Kodak Black,3056338,1
44,Wanted You (feat. Lil Uzi Vert),NAV,3004749,1
45,Sorry Not Sorry,Demi Lovato,2986767,1
46,End Game,Taylor Swift,2952285,1
47,The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,2928490,1
48,Shape of You,Ed Sheeran,2908251,1
49,Jocelyn Flores,XXXTENTACION,2873169,1
50,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,2856506,1
51,Stir Fry,Migos,2774822,1
52,Saint,Huncho Jack,2771712,1
53,Feel It Still,Portugal. The Man,2713120,1
54,Slippery (feat. Gucci Mane),Migos,2669201,1
55,Fuck Love (feat. Trippie Redd),XXXTENTACION,2612031,1
56,Rubbin Off The Paint,YBN Nahmir,2561510,1
57,Despacito - Remix,Luis Fonsi,2534588,1
58,Ghostface Killers,21 Savage,2498799,1
59,How Long,Charlie Puth,2489088,1
60,Dubai Shit,Huncho Jack,2473674,1
61,Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,2447083,1
62,DNA.,Kendrick Lamar,2335539,1
63,GUMMO,6ix9ine,2320909,1
64,Believer,Imagine Dragons,2302073,1
65,MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,2289695,1
66,Go Flex,Post Malone,2263112,1
67,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,2191656,1
68,Real Friends,Camila Cabello,2168343,1
69,Body Like A Back Road,Sam Hunt,2132805,1
70,Redbone,Childish Gambino,2132516,1
71,Rake It Up (feat. Nicki Minaj),Yo Gotti,2128185,1
72,Go Legend (& Metro Boomin),Big Sean,2117494,1
73,Attention,Charlie Puth,2098802,1
74,Mask Off,Future,2094567,1
75,Rewrite The Stars,Zac Efron,2079792,1
76,Sober,G-Eazy,2039630,1
77,I Miss You (feat. Julia Michaels),Clean Bandit,2037953,1
78,Plain Jane REMIX (feat. Nicki Minaj),A$AP Ferg,2037676,1
79,Love Galore (feat. Travis Scott),SZA,2018832,1
80,Échame La Culpa,Luis Fonsi,2009457,1
81,White Iverson,Post Malone,1998000,1
82,Magnolia,Playboi Carti,1992610,1
83,Mi Gente,J Balvin,1979480,1
84,Closer,The Chainsmokers,1937933,1
85,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1925003,1
86,Ice Tray,Quality Control,1903533,1
87,New Freezer (feat. Kendrick Lamar),Rich The Kid,1896115,1
88,iSpy (feat. Lil Yachty),KYLE,1891060,1
89,That's What I Like,Bruno Mars,1888517,1
90,The Weekend,SZA,1872398,1
91,Bad and Boujee (feat. Lil Uzi Vert),Migos,1870871,1
92,Losin Control,Russ,1862623,1
93,Modern Slavery,Huncho Jack,1848406,1
94,Sauce It Up,Lil Uzi Vert,1842434,1
95,Delicate,Taylor Swift,1827367,1
96,Look What You Made Me Do,Taylor Swift,1809972,1
97,Say You Won't Let Go,James Arthur,1805636,1
98,What Ifs (feat. Lauren Alaina),Kane Brown,1798785,1
99,The Greatest Show,Hugh Jackman,1791063,1
100,Relationship (feat. Future),Young Thug,1782457,1
101,Strip That Down,Liam Payne,1781576,1
102,This Is Me,Keala Settle,1779716,1
103,Passionfruit,Drake,1773110,1
104,Black & Chinese,Huncho Jack,1767779,1
105,One Dance,Drake,1766161,1
106,Bounce Back,Big Sean,1748478,1
107,Wait,Maroon 5,1737664,1
108,IDGAF,Dua Lipa,1736543,1
109,So Far Away (feat. Jamie Scott & Romy Dya),Martin Garrix,1720559,1
110,It's A Vibe,2 Chainz,1714466,1
111,Sensualidad,Bad Bunny,1708987,1
112,Man's Not Hot,Big Shaq,1705319,1
113,Dusk Till Dawn - Radio Edit,ZAYN,1696855,1
114,Transportin',Kodak Black,1695673,1
115,Tunnel Vision,Kodak Black,1691559,1
116,do re mi,blackbear,1686621,1
117,Havana - Remix,Camila Cabello,1685665,1
118,Something Just Like This,The Chainsmokers,1671423,1
119,...Ready For It?,Taylor Swift,1667020,1
120,Never Enough,Loren Allred,1664205,1
121,There's Nothing Holdin' Me Back,Shawn Mendes,1654962,1
122,Marry Me,Thomas Rhett,1654596,1
123,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1650337,1
124,The Race,Tay-K,1647641,1
125,Eye 2 Eye,Huncho Jack,1644847,1
126,Dark Knight Dummo (Feat. Travis Scott),Trippie Redd,1642657,1
127,Everybody Dies In Their Nightmares,XXXTENTACION,1625249,1
128,Bring It Back (with Drake & Mike WiLL Made-It),Trouble,1617158,1
129,Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,1616704,1
130,A Million Dreams,Ziv Zaifman,1595062,1
131,Stay,Zedd,1587562,1
132,I Like Me Better,Lauv,1579044,1
133,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1565875,1
134,Icon,Jaden,1563987,1
135,No Role Modelz,J. Cole,1551632,1
136,Corazón,Maluma,1551370,1
137,La Modelo,Ozuna,1541713,1
138,Starboy,The Weeknd,1537914,1
139,T-Shirt,Migos,1537577,1
140,Slide (feat. Frank Ocean & Migos),Calvin Harris,1537262,1
141,"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",Chris Brown,1535080,1
142,Tip Toe (feat. French Montana),Jason Derulo,1531691,1
143,wokeuplikethis*,Playboi Carti,1528463,1
144,Nowadays (feat. Landon Cube),Lil Skies,1522917,1
145,Look At Me!,XXXTENTACION,1521448,1
146,The Other Side,Hugh Jackman,1520494,1
147,Slow Hands,Niall Horan,1504765,1
148,Fake Love,Drake,1502167,1
149,The Weekend - Funk Wav Remix,SZA,1493110,1
150,Motorcycle Patches,Huncho Jack,1469931,1
151,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,1466002,1
152,Unforgettable,Thomas Rhett,1451303,1
153,Caroline,Aminé,1419687,1
154,KOODA,6ix9ine,1411427,1
155,Issues,Julia Michaels,1403101,1
156,Love Scars,Trippie Redd,1401127,1
157,Greatest Love Story,LANCO,1399646,1
158,beibs in the trap,Travis Scott,1397957,1
159,Broccoli (feat. Lil Yachty),Shelley FKA DRAM,1394575,1
160,Praying,Kesha,1387725,1
161,Se Preparó,Ozuna,1371855,1
162,No Option,Post Malone,1368644,1
163,In Case You Didn't Know,Brett Young,1360467,1
164,It Ain't Me (with Selena Gomez),Kygo,1336557,1
165,Lemon,N.E.R.D,1336127,1
166,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1331849,1
167,PRBLMS,6LACK,1327614,1
168,Don't,Bryson Tiller,1318533,1
169,First Day Out,Tee Grizzley,1312850,1
170,Glorious (feat. Skylar Grey),Macklemore,1305795,1
171,Portland,Drake,1303926,1
172,20 Min,Lil Uzi Vert,1303133,1
173,Exchange,Bryson Tiller,1298390,1
174,Money Longer,Lil Uzi Vert,1297934,1
175,Most Girls,Hailee Steinfeld,1286093,1
176,Huncho Jack,Huncho Jack,1284019,1
177,X (feat. Future),21 Savage,1282085,1
178,No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,1264882,1
179,Mayores,Becky G,1264291,1
180,Now Or Never,Halsey,1262378,1
181,Die For You,The Weeknd,1258634,1
182,Myself,NAV,1257964,1
183,Yours,Russell Dickerson,1254288,1
184,Heartache On The Dance Floor,Jon Pardi,1252239,1
185,Swang,Rae Sremmurd,1247887,1
186,Come Alive,Hugh Jackman,1243162,1
187,When It Rains It Pours,Luke Combs,1235694,1
188,Saved,Khalid,1234404,1
189,Poles 1469,Trippie Redd,1234005,1
190,Danger (with Migos & Marshmello),Migos,1224671,1
191,pick up the phone,Young Thug,1224640,1
192,All Falls Down (feat. Juliander),Alan Walker,1221188,1
193,Criminal,Natti Natasha,1215862,1
194,From The D To The A (feat. Lil Yachty),Tee Grizzley,1212380,1
195,You Broke Up with Me,Walker Hayes,1208368,1
196,Galway Girl,Ed Sheeran,1202864,1
197,Red Roses (feat. Landon Cube),Lil Skies,1202786,1
198,What They Want,Russ,1197454,1
199,Stargazing,Kygo,1197037,1
200,Ex Calling,6LACK,1196048,1
1,rockstar,Post Malone,9855305,2
2,Finesse - Remix; feat. Cardi B,Bruno Mars,8504248,2
3,No Limit,G-Eazy,7685058,2
4,Bartier Cardi (feat. 21 Savage),Cardi B,7439471,2
5,I Fall Apart,Post Malone,6971450,2
6,Ric Flair Drip (& Metro Boomin),Offset,6419256,2
7,All The Stars (with SZA),Kendrick Lamar,6406373,2
8,Him & I (with Halsey),G-Eazy,6239280,2
9,Havana,Camila Cabello,5860925,2
10,LOVE. FEAT. ZACARI.,Kendrick Lamar,5657847,2
11,Codeine Dreaming (feat. Lil Wayne),Kodak Black,5505158,2
12,Let You Down,NF,5215443,2
13,Candy Paint,Post Malone,5110437,2
14,Filthy,Justin Timberlake,5048103,2
15,Gucci Gang,Lil Pump,4996794,2
16,River (feat. Ed Sheeran),Eminem,4875212,2
17,XO Tour Llif3,Lil Uzi Vert,4828478,2
18,PICK IT UP (feat. A$AP Rocky),Famous Dex,4680932,2
19,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,4589237,2
20,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4497907,2
21,MotorSport,Migos,4457378,2
22,Bank Account,21 Savage,4419534,2
23,Wolves,Selena Gomez,4409183,2
24,Too Good At Goodbyes,Sam Smith,4362005,2
25,Plain Jane,A$AP Ferg,4361670,2
26,HUMBLE.,Kendrick Lamar,4306140,2
27,Sky Walker (feat. Travis Scott),Miguel,4290792,2
28,Perfect,Ed Sheeran,4268123,2
29,New Rules,Dua Lipa,4227667,2
30,Congratulations,Post Malone,4113995,2
31,Young Dumb & Broke,Khalid,4014104,2
