,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Falling Down - Bonus Track","Lil Peep",12878038,https://open.spotify.com/track/0Dn40gxVCMo5TkgS8Ik18Q
2,"I Love It (& Lil Pump)","Kanye West",11449795,https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ
3,"SICKO MODE","Travis Scott",9965998,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"New Patek","Lil Uzi Vert",9216307,https://open.spotify.com/track/0Fpen1PTuEnCmOJtUU9Iud
5,"Lucid Dreams","Juice WRLD",8890369,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
6,"Lucky You (feat. Joyner Lucas)",Eminem,8067418,https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0
7,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,8049051,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
8,"Mo Bamba","Sheck Wes",7796694,https://open.spotify.com/track/3QybPutx0Tjk472bBKjNWn
9,Happier,Marshmello,6996824,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
10,SAD!,XXXTENTACION,6811335,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
11,Nonstop,Drake,6676793,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
12,Better,Khalid,6622443,https://open.spotify.com/track/4T3fNx3CgwDRRYgmFCbD4J
13,"Wake Up in the Sky","Gucci Mane",6512414,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
14,"In My Feelings",Drake,6477849,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ
15,Moonlight,XXXTENTACION,6063895,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
16,"Drip Too Hard","Lil Baby",5929504,https://open.spotify.com/track/1BxkZE73h9BN3qwuA15TA3
17,"Eastside (with Halsey & Khalid)","benny blanco",5641653,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao
18,"Better Now","Post Malone",5623732,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
19,"Taste (feat. Offset)",Tyga,5597464,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
20,"Yes Indeed","Lil Baby",5515102,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ
21,Noticed,"Lil Mosey",5401635,https://open.spotify.com/track/7d6XJZjnm7iWcKwYL9z5kC
22,Killshot,Eminem,5298275,https://open.spotify.com/track/1jo3TwNGCXfNdB5uba3ZVv
23,"No Stylist (feat. Drake)","French Montana",5050767,https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A
24,"I Like It","Cardi B",4735494,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
25,"Jocelyn Flores",XXXTENTACION,4629726,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
26,STARGAZING,"Travis Scott",4529768,https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m
27,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,4398804,https://open.spotify.com/track/0ZNrc4kNeQYD9koZ3KvCsy
28,"Lean Wit Me","Juice WRLD",4260727,https://open.spotify.com/track/29tc0GbW0pTSBZSCZF3NWk
29,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,4150049,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
30,Natural,"Imagine Dragons",4116027,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP
31,"All Girls Are The Same","Juice WRLD",4105313,https://open.spotify.com/track/0XySogm94T51XF5F2jumXm
32,breathin,"Ariana Grande",4077726,https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J
33,"Leave Me Alone","Flipp Dinero",3929272,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
34,YOSEMITE,"Travis Scott",3887207,https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR
35,"God's Plan",Drake,3820550,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
36,"No Brainer","DJ Khaled",3812686,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8
37,changes,XXXTENTACION,3804894,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO
38,"SLOW DANCING IN THE DARK",Joji,3767533,https://open.spotify.com/track/0UyljEbX9dqI1K0sqdv6B6
39,"Psycho (feat. Ty Dolla $ign)","Post Malone",3761225,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
40,"Self Care","Mac Miller",3711158,https://open.spotify.com/track/5bJ1DrEM4hNCafcDd1oxHx
41,"Electricity (with Dua Lipa)","Silk City",3705400,https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk
42,"God is a woman","Ariana Grande",3682001,https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C
43,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",3677933,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
44,Youngblood,"5 Seconds of Summer",3659453,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
45,"The Ringer",Eminem,3648459,https://open.spotify.com/track/2jt2WxXMCD4zjACthkJQVE
46,"Promises (with Sam Smith)","Calvin Harris",3546218,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
47,"Girls Like You (feat. Cardi B)","Maroon 5",3532952,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
48,"rockstar (feat. 21 Savage)","Post Malone",3530804,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
49,"Be Alright","Dean Lewis",3413145,https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm
50,"Nice For What",Drake,3400858,https://open.spotify.com/track/3CA9pLiwRIGtUBiMjbZmRw
51,"Beautiful (feat. Camila Cabello)",Bazzi,3261990,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF
52,"Drew Barrymore","Bryce Vine",3237598,https://open.spotify.com/track/0OgGn1ofaj55l2PcihQQGV
53,"This Feeling (feat. Kelsea Ballerini)","The Chainsmokers",3212029,https://open.spotify.com/track/15kQGEy89K8deJcZVFEn0N
54,"Look Alive (feat. Drake)","BlocBoy JB",3177796,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
55,"RAP DEVIL","Machine Gun Kelly",3084372,https://open.spotify.com/track/43TP6JCWXgkc2D7Xjz5hBr
56,"I Fall Apart","Post Malone",3049110,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
57,Trip,"Ella Mai",2979953,https://open.spotify.com/track/7noud145AHZGg74vpWOsCa
58,Thunderclouds,Sia,2954815,https://open.spotify.com/track/5a8RPWgKSmcGBGcffmIrUi
59,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",2950263,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
60,"Taking A Walk","Trippie Redd",2928356,https://open.spotify.com/track/4mHgYpuGHu99Mw69E83CP2
61,"REEL IT IN",Aminé,2896783,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
62,"Everybody Dies In Their Nightmares",XXXTENTACION,2896099,https://open.spotify.com/track/3GVkPk8mqxz0itaAriG1L7
63,"no tears left to cry","Ariana Grande",2858786,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
64,"Hopeless Romantic (feat. Swae Lee)","Wiz Khalifa",2844530,https://open.spotify.com/track/7IBSffWIu7P2MC7kMwy2FM
