,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Call Out My Name","The Weeknd",18660722,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
2,"God's Plan",Drake,14296948,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
3,"Try Me","The Weeknd",12351984,https://open.spotify.com/track/2poOAWEj1CStqTVPgIHZ8s
4,"Wasted Times","The Weeknd",11134669,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
5,"Psycho (feat. Ty Dolla $ign)","Post Malone",11063596,https://open.spotify.com/track/65NwOZqoXny4JxqAPlfxRF
6,SAD!,XXXTENTACION,10427365,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
7,"Look Alive (feat. Drake)","BlocBoy JB",10250446,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
8,"I Was Never There","The Weeknd",9236522,https://open.spotify.com/track/56d6kYZhfhzpoC3s1dRU2V
9,"Hurt You","The Weeknd",9189196,https://open.spotify.com/track/13wNEvWmBsWaWVtiLPRIW5
10,"Plug Walk","Rich The Kid",7987232,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
11,Privilege,"The Weeknd",7892466,https://open.spotify.com/track/26Fqtv4Aa7kyd1WWGHai6A
12,"Freaky Friday (feat. Chris Brown)","Lil Dicky",7469544,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
13,"Love Lies (with Normani)",Khalid,6578747,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
14,Moonlight,XXXTENTACION,6371731,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
15,"All The Stars (with SZA)","Kendrick Lamar",6162098,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
16,"Walk It Talk It",Migos,6140846,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
17,Mine,Bazzi,6044468,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
18,"The Middle",Zedd,6010000,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
