,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,26345370,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,rockstar,"Post Malone",8635041,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx
3,"Diplomatic Immunity",Drake,8422148,https://open.spotify.com/track/5goGDc74vVREyN8al8CkPh
4,"Finesse - Remix; feat. Cardi B","Bruno Mars",6831118,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
5,"No Limit",G-Eazy,6657944,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
6,"I Fall Apart","Post Malone",6557861,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
7,"Havana (feat. Young Thug)","Camila Cabello",6521146,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
8,"Ric Flair Drip (& Metro Boomin)",Offset,6355943,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
9,"Bartier Cardi (feat. 21 Savage)","Cardi B",5972385,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
10,"All The Stars (with SZA)","Kendrick Lamar",5946526,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
11,"Never Be the Same","Camila Cabello",5662604,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
12,"Him & I (with Halsey)",G-Eazy,5494119,https://open.spotify.com/track/5k38wzpLb15YgncyWdTZE4
13,"Codeine Dreaming (feat. Lil Wayne)","Kodak Black",5415717,https://open.spotify.com/track/4DTpngLjoHj5gFxEZFeD3J
14,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",5281454,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
15,"LOVE. FEAT. ZACARI.","Kendrick Lamar",5178866,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
16,"Let You Down",NF,5113990,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
17,"Stir Fry",Migos,4927600,https://open.spotify.com/track/4fndbjoz1qJyK6JcLdKfzm
18,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4712749,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
19,"Candy Paint","Post Malone",4675445,https://open.spotify.com/track/42CeaId2XNlxugDvyqHfDf
20,"XO Tour Llif3","Lil Uzi Vert",4640030,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO
21,"Sick Boy","The Chainsmokers",4620927,https://open.spotify.com/track/7jqDzXJS0K0Re8uphYNit0
22,"Rewrite The Stars","Zac Efron",4517483,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN
23,"Sky Walker (feat. Travis Scott)",Miguel,4466078,https://open.spotify.com/track/5WoaF1B5XIEnWfmb5NZikf
24,"Plain Jane","A$AP Ferg",4365077,https://open.spotify.com/track/4dVpf9jZjcORqGTLUaeYj9
25,MotorSport,Migos,4356230,https://open.spotify.com/track/1YZfcVLbbJwfizR5cDOp3q
26,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Hailee Steinfeld",4346609,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y
27,"Bank Account","21 Savage",4300419,https://open.spotify.com/track/2fQrGHiQOvpL9UgPvtYy6G
28,"River (feat. Ed Sheeran)",Eminem,4291324,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD
29,Congratulations,"Post Malone",4142267,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
30,HUMBLE.,"Kendrick Lamar",4088656,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
31,IDGAF,"Dua Lipa",4080375,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr
32,Betrayed,"Lil Xan",4045706,https://open.spotify.com/track/6NWl2m8asvH83xjuXVNsuG
33,Perfect,"Ed Sheeran",4005746,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
34,"Gucci Gang","Lil Pump",3982880,https://open.spotify.com/track/43ZyHQITOjhciSUUNPVRHc
35,Wolves,"Selena Gomez",3893063,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC
36,"Young Dumb & Broke",Khalid,3835506,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
37,"I Get the Bag (feat. Migos)","Gucci Mane",3745195,https://open.spotify.com/track/1XRgIKC5TPwo7nWGyKqgG0
38,"Nowadays (feat. Landon Cube)","Lil Skies",3731372,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
39,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",3591262,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
40,Mine,Bazzi,3578060,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
41,"Too Good At Goodbyes","Sam Smith",3562193,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
42,"This Is Me","Keala Settle",3550419,https://open.spotify.com/track/2xGjteMU3E1tkEPVFBO08U
43,"New Rules","Dua Lipa",3545665,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
44,1-800-273-8255,Logic,3470572,https://open.spotify.com/track/5tz69p7tJuGPeMGwNTxYuV
45,"Roll In Peace (feat. XXXTENTACION)","Kodak Black",3462219,https://open.spotify.com/track/40oKW22ZNNkEdZLJTScaQI
46,"Bodak Yellow","Cardi B",3407933,https://open.spotify.com/track/2771LMNxwf62FTAdpJMQfM
47,KEKE,6ix9ine,3361621,https://open.spotify.com/track/0zl3PdjIl320fK0pxBGWNR
48,"Tell Me You Love Me","Demi Lovato",3286326,https://open.spotify.com/track/5Htb1uFQ1KrkFXlefS8oGj
49,"Wanted You (feat. Lil Uzi Vert)",NAV,3242874,https://open.spotify.com/track/790MhTXPFrYkrqCKvpg4t1
50,Location,Khalid,3236297,https://open.spotify.com/track/152lZdxL1OR0ZMW6KquMif
51,"End Game","Taylor Swift",3217448,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX
52,goosebumps,"Travis Scott",3125168,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
53,Silence,Marshmello,3078601,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
54,Thunder,"Imagine Dragons",3056588,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW
55,"My My My!","Troye Sivan",3004797,https://open.spotify.com/track/2Tq2R8sRftNEqdgJK5HadO
56,"Jocelyn Flores",XXXTENTACION,2933632,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
57,"BUTTERFLY EFFECT","Travis Scott",2908160,https://open.spotify.com/track/1yxgsra98r3qAtxqiGZPiX
58,Wait,"Maroon 5",2879045,https://open.spotify.com/track/1Qg9jWGDkKAGZXj5v2OG59
59,Unforgettable,"French Montana",2861309,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe
60,"Bad At Love",Halsey,2838481,https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl
61,"The Way Life Goes (feat. Oh Wonder)","Lil Uzi Vert",2837007,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc
62,"Fuck Love (feat. Trippie Redd)",XXXTENTACION,2814550,https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2
63,"Real Friends","Camila Cabello",2772548,https://open.spotify.com/track/3iq9nhbI8fcnNamxMft1uv
64,"Red Roses (feat. Landon Cube)","Lil Skies",2743080,https://open.spotify.com/track/3ZhTT6yjZwpPph5MIJ53XY
65,"Sorry Not Sorry","Demi Lovato",2726019,https://open.spotify.com/track/3m660poUr1chesgkkjQM7P
66,"Slippery (feat. Gucci Mane)",Migos,2630711,https://open.spotify.com/track/6p8NuHm8uCGnn2Dtbtf7zE
67,"What Lovers Do (feat. SZA)","Maroon 5",2621769,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k
